"Step Name","Variable Name","Source/Origin","Formula / Description / How it is computed","Code Location","API / External Call","Endpoint Trigger / Protocol","Input Payload","JSON Output Structure"
"Step 3: Hypothesis Scoring","Log Evidence","Log Rule Evaluator mapping","For every evaluated hypothesis, maps the specific raw log strings from `incident.logs` that triggered a pattern match (`h.matched_logs`) to prove why the hypothesis got a log_score.","rca_source_backend/agentic_engine/core/hypothesis.py (score_logs)","None","POST /api/rca/run-flow HTTP/1.1","multipart/form-data (file: <excel file>)","{""step"": 3, ""data"": {""hypotheses"": [{""matched_logs"": [""matched string here""]}, ...], ...}}"

"Step 4: Situation Card Generation","Situation ID","Situation Card Builder","Displays the unique ID assigned to the semantic card (`sitObj.situation_id`). Extracted from DB or generated.","rca_source_backend/agentic_engine/core/situation.py","None","POST /api/rca/run-flow HTTP/1.1","multipart/form-data (file: <excel file>)","{""step"": 4, ""title"": ""Situation Verification"", ""data"": {""situation_card"": {""situation_id"": ""SIT-789""}, ...}}"
"Step 4: Situation Card Generation","Summary","Semantic Template Replacement","Finds a situation template matching `template_id`. Uses regex to replace `{var}` placeholders with actual values of `device`, `top_hypothesis`, metrics etc., yielding a human-readable summary.","rca_source_backend/agentic_engine/core/situation.py (create_situation_card)","None","POST /api/rca/run-flow HTTP/1.1","multipart/form-data (file: <excel file>)","{""step"": 4, ""data"": {""situation_card"": {""situation_text"": ""summary string""}, ...}}"
"Step 4: Situation Card Generation","Tags","Frontend Hardcoded","Statically displays 'N/A' on the UI as tags are not populated yet.","src/pages/RCAPlaygroundPage.tsx","None","POST /api/rca/run-flow HTTP/1.1","multipart/form-data (file: <excel file>)","{""step"": 4, ""data"": {...}}"
"Step 4: Situation Card Generation","Input Data","JSON Aggregation","Generates a raw JSON payload combining metadata generated by the situation logic and all logs: `JSON.stringify({...sitObj.metadata, logs: incident.logs})`.","src/pages/RCAPlaygroundPage.tsx","None","POST /api/rca/run-flow HTTP/1.1","multipart/form-data (file: <excel file>)","{""step"": 4, ""data"": {""situation_card"": {""metadata"": {}}, ""logs"": [], ...}}"
"Step 4: Situation Card Generation","Embedding","Frontend Descriptive Text","Statically displays 'Vector representation stored for similarity search'. On the backend, this text is generated into a vector array for DB insertion.","src/pages/RCAPlaygroundPage.tsx","Vector DB embedding generation model API (e.g. OpenAI ada or local)","POST /api/rca/run-flow HTTP/1.1","multipart/form-data (file: <excel file>)","{""step"": 4, ""data"": {...}}"

"Step 5: Data Correlation Engine","Query","Information Passing","Passes `incident.situation_card.situation_text` as the query string parameter to search the historical store.","src/pages/RCAPlaygroundPage.tsx","None","POST /api/rca/run-flow HTTP/1.1","multipart/form-data (file: <excel file>)","{""step"": 5, ""title"": ""Data Correlation Engine"", ""data"": {""situation_card"": {""situation_text"": ""query string""}, ...}}"
"Step 5: Data Correlation Engine","Top Match","Vector Similarity Result","Extracts `hCases[0].case_id`, which represents the historical case holding the highest cosine similarity score to the current query.","rca_source_backend/agentic_engine logic","Vector DB (FAISS/Milvus/Qdrant) Search API","POST /api/rca/run-flow HTTP/1.1","multipart/form-data (file: <excel file>)","{""step"": 5, ""data"": {""historical"": {""retrieved_cases"": [{""case_id"": ""CASE-1""}]}}}"
"Step 5: Data Correlation Engine","Retrieved Cases","Vector Capability Enumeration","Loops through the retrieved historical matches mapping their past `case_id`, `sit_summary`, `rca`, and `remedy`. Converts `sim_score` to a display percentage (`sim_score * 100`).","rca_source_backend/agentic_engine/core/correlator.py usage","Vector DB Search API","POST /api/rca/run-flow HTTP/1.1","multipart/form-data (file: <excel file>)","{""step"": 5, ""data"": {""historical"": {""retrieved_cases"": [{""case_id"": ""CASE-1"", ""rca"": """", ""sim_score"": 0.9}]}}}"
"Step 5: Data Correlation Engine","Confidence Boost","Frontend Hardcoded Modifier","Statically renders '+0.15' on the UI to indicate the positive weight applied to the hypothesis score due to historical backing.","src/pages/RCAPlaygroundPage.tsx","None","POST /api/rca/run-flow HTTP/1.1","multipart/form-data (file: <excel file>)","{""step"": 5, ""data"": {...}}"

"Step 6: RCA Correlator Engine","Final RCA","Generative LLM Engine","Extracts the `rca` key parsed directly from the JSON returned by the Large Language Model prompt (which contained all previous evidence).","rca_source_backend/agentic_engine/core/correlator.py (correlator_llm)","LLM API call (call_ollama_api -> Ollama/OpenAI API)","POST /api/rca/run-flow HTTP/1.1","multipart/form-data (file: <excel file>)","{""step"": 6, ""title"": ""Final RCA & Remedy"", ""data"": {""correlator_llm_output"": {""rca"": ""root cause context...""}}}"
"Step 6: RCA Correlator Engine","RCA Confidence","Generative LLM Engine","Extracts the `confidence` key outputted by the LLM as part of its judgment reasoning.","rca_source_backend/agentic_engine/core/correlator.py (correlator_llm)","LLM API call (call_ollama_api)","POST /api/rca/run-flow HTTP/1.1","multipart/form-data (file: <excel file>)","{""step"": 6, ""data"": {""correlator_llm_output"": {""confidence"": 0.89}}}"
"Step 6: RCA Correlator Engine","Key Evidence","Generative LLM Engine","Formats the list of objects returned by the LLM under `evidence_used` joining `metric` and `value` to display what specific telemetry the LLM based its RCA upon.","rca_source_backend/agentic_engine/core/correlator.py / src/pages/RCAPlaygroundPage.tsx","LLM API call (call_ollama_api)","POST /api/rca/run-flow HTTP/1.1","multipart/form-data (file: <excel file>)","{""step"": 6, ""data"": {""correlator_llm_output"": {""evidence_used"": [{""metric"": ""A"", ""value"": ""B""}]}}}"
"Step 6: RCA Correlator Engine","Proposed Remedy","Generative LLM Engine","Parses the list of strings output by the LLM under `remedy`, replacing semicolons with line breaks and bullets for formatting (`r.replace(';', '<br>• ')`).","rca_source_backend/agentic_engine/core/correlator.py (correlator_llm) / src/pages/RCAPlaygroundPage.tsx","LLM API call (call_ollama_api)","POST /api/rca/run-flow HTTP/1.1","multipart/form-data (file: <excel file>)","{""step"": 6, ""data"": {""correlator_llm_output"": {""remedy"": [""Step1"", ""Step2""]}}}"
